frame_id,object_id,class,x1,y1,x2,y2,velocity_m_s
85,2,Car,677,295,706,314,1.355
85,63,Car,847,296,905,328,8.250
86,1,Car,530,302,559,317,0.606
86,2,Car,677,295,706,315,1.714
86,63,Car,848,296,906,328,7.884
87,1,Car,530,302,559,317,0.606
87,2,Car,677,295,706,315,1.767
87,63,Car,849,296,907,328,7.884
87,12,Car,864,298,912,328,8.906
88,1,Car,529,302,559,317,0.857
88,2,Car,677,295,707,316,1.917
88,63,Car,849,296,908,329,7.726
88,12,Car,864,298,912,329,9.021
88,64,Car,76,298,125,324,38.334
89,1,Car,529,302,559,317,0.606
89,2,Car,675,295,706,316,0.857
89,63,Car,850,296,909,329,7.726
89,64,Car,59,298,110,325,40.504
90,1,Car,529,302,558,317,0.958
90,2,Car,675,295,706,317,1.355
90,63,Car,850,296,911,329,4.734
91,1,Car,529,302,559,317,0.606
91,2,Car,676,298,706,317,2.607
91,63,Car,851,297,913,330,5.829
92,1,Car,529,302,559,319,0.606
92,2,Car,677,299,708,319,3.951
92,63,Car,852,298,915,332,6.924
93,1,Car,528,303,560,320,1.767
93,2,Car,677,300,708,320,4.371
93,63,Car,854,299,917,333,8.052
94,1,Car,529,303,560,320,1.714
94,2,Car,678,301,708,321,5.301
94,63,Car,856,299,919,334,9.010
95,1,Car,529,304,560,320,2.185
95,2,Car,678,301,708,321,4.792
95,63,Car,858,300,920,333,9.631
96,2,Car,678,301,708,321,5.178
96,63,Car,859,300,921,333,9.631
97,2,Car,678,300,709,321,4.636
97,63,Car,860,300,923,334,10.187
97,1,Car,528,303,560,321,1.875
98,2,Car,678,299,709,320,2.744
98,63,Car,861,299,926,333,10.087
98,1,Car,528,303,560,320,1.546
99,2,Car,679,299,709,320,1.355
99,63,Car,861,297,928,333,9.429
99,1,Car,528,303,560,320,1.500
100,2,Car,679,299,710,320,1.767
100,63,Car,863,296,931,333,9.941
100,1,Car,528,302,559,319,0.375
101,2,Car,679,299,711,320,2.143
101,63,Car,865,296,933,332,10.087
102,2,Car,680,298,712,320,3.090
102,63,Car,867,295,935,332,10.602
102,147,Car,183,302,220,322,0.000
102,150,Car,270,300,295,314,0.000
103,2,Car,680,298,712,319,3.347
103,63,Car,868,295,936,331,10.714
103,150,Car,269,301,292,314,12.369
103,1,Car,529,302,558,319,0.671
104,2,Car,680,298,713,320,2.875
104,63,Car,868,295,938,332,10.304
104,150,Car,265,301,290,314,15.075
104,1,Car,528,302,558,319,1.082
105,2,Car,680,298,713,320,2.607
105,63,Car,870,294,941,332,10.602
105,150,Car,261,301,286,314,18.028
105,1,Car,528,301,558,318,1.749
106,2,Car,680,298,714,320,2.607
106,63,Car,871,294,943,333,10.791
106,150,Car,257,300,284,315,18.016
106,1,Car,528,301,558,318,1.795
106,147,Car,200,303,231,319,21.054
107,2,Car,680,297,714,320,2.308
107,63,Car,872,294,945,333,9.894
107,150,Car,253,301,280,315,19.237
107,1,Car,528,302,557,318,1.414
107,147,Car,192,303,222,319,6.708
108,2,Car,681,298,715,320,2.607
108,63,Car,874,295,946,333,9.429
108,150,Car,249,301,276,315,20.025
108,1,Car,528,302,557,318,1.414
108,147,Car,182,304,214,320,3.500
109,2,Car,681,298,715,321,1.767
109,63,Car,876,296,948,334,9.516
109,150,Car,245,301,273,317,20.216
109,1,Car,527,302,557,319,1.000
109,147,Car,169,304,203,321,13.293
110,2,Car,681,298,716,321,2.308
110,63,Car,879,297,951,335,11.436
110,150,Car,241,302,270,317,21.497
110,1,Car,526,301,557,319,1.767
111,2,Car,682,299,717,322,2.875
111,63,Car,882,297,953,335,12.612
111,150,Car,236,302,266,318,22.815
111,1,Car,526,301,557,319,1.355
112,2,Car,682,299,717,322,2.875
112,63,Car,884,298,955,335,12.369
112,150,Car,232,302,261,318,23.242
112,1,Car,526,301,557,319,1.355
113,2,Car,682,299,717,321,2.308
113,63,Car,886,298,957,335,12.692
113,150,Car,227,302,255,318,25.376
113,1,Car,526,301,557,319,1.355
114,2,Car,682,298,718,322,2.875
114,63,Car,887,298,959,335,12.692
114,150,Car,222,302,251,318,25.771
114,1,Car,526,301,557,319,0.857
115,2,Car,683,298,719,322,2.711
115,63,Car,888,298,959,335,11.768
115,150,Car,218,302,247,318,25.771
115,1,Car,526,301,557,319,0.857
116,2,Car,684,298,720,322,3.455
116,63,Car,889,297,960,335,10.749
116,150,Car,213,302,241,317,27.432
116,1,Car,526,301,557,319,0.606
116,171,Car,917,299,959,336,0.000
117,2,Car,685,299,721,322,3.951
117,63,Car,890,298,960,336,8.614
117,1,Car,526,301,556,319,0.429
117,171,Car,918,299,960,336,6.000
118,2,Car,686,299,721,322,3.429
118,63,Car,891,298,960,336,6.911
118,1,Car,526,301,555,319,0.857
118,171,Car,920,299,960,336,6.000
119,2,Car,686,299,722,322,3.857
119,63,Car,893,298,960,336,6.015
119,1,Car,526,301,555,318,0.958
119,171,Car,924,299,960,336,8.000
119,150,Car,198,302,226,317,29.000
120,2,Car,687,300,722,322,4.371
120,63,Car,894,298,960,337,4.792
120,1,Car,526,301,555,318,0.958
120,150,Car,193,302,221,316,29.341
121,2,Car,687,300,722,323,4.066
121,63,Car,894,298,960,337,3.534
121,1,Car,526,301,556,319,0.429
121,150,Car,186,302,215,317,30.668
122,2,Car,688,300,722,323,3.662
122,63,Car,895,298,960,338,3.662
122,1,Car,526,301,556,319,0.429
122,150,Car,178,302,209,318,31.667
123,2,Car,689,300,723,323,3.662
123,63,Car,897,298,960,338,3.833
123,1,Car,526,301,555,319,0.857
123,150,Car,170,302,204,319,33.002
124,2,Car,689,300,723,324,2.875
124,63,Car,898,299,960,339,3.833
124,1,Car,527,302,555,319,0.429
124,150,Car,161,302,197,321,35.681
125,2,Car,690,301,724,324,3.455
125,63,Car,900,299,960,339,4.221
125,1,Car,527,302,554,319,0.429
125,150,Car,153,302,190,321,37.024
126,2,Car,689,301,725,325,3.347
126,63,Car,902,299,960,340,4.412
126,1,Car,527,302,554,318,0.429
126,150,Car,145,303,182,321,41.627
127,2,Car,689,301,725,326,3.030
127,63,Car,903,299,960,340,4.221
127,1,Car,527,303,554,319,1.286
127,150,Car,138,303,176,322,42.962
128,2,Car,690,302,725,326,3.347
128,63,Car,905,299,960,341,5.178
128,1,Car,527,304,554,320,1.767
129,2,Car,690,302,725,326,3.030
129,63,Car,906,299,960,341,5.016
129,1,Car,527,304,554,320,1.767
130,2,Car,689,302,725,326,2.308
130,63,Car,908,298,960,341,4.886
130,1,Car,527,304,554,320,1.714
131,2,Car,689,301,725,326,1.545
131,63,Car,911,299,960,340,5.588
131,1,Car,526,304,553,319,1.545
132,2,Car,689,301,726,326,0.958
132,63,Car,914,299,960,340,6.015
132,1,Car,525,303,553,320,1.545
133,2,Car,690,301,727,326,1.355
133,63,Car,916,299,960,340,6.000
133,1,Car,525,303,553,320,1.818
134,2,Car,691,301,728,326,2.143
134,63,Car,918,301,960,340,6.485
134,1,Car,524,304,552,321,2.499
135,2,Car,690,301,729,327,1.714
135,63,Car,922,304,960,341,7.594
135,1,Car,524,304,552,321,2.185
136,2,Car,690,301,729,327,1.714
